OriginalComment,TranslatedComment,Sentiment
Falta de reconhecimento pelo trabalho realizado.,Lack of recognition for the work done.,Negative
Crescimento dentro da empresa é lento.,Career growth within the company is slow.,Negative
Ambiente por vezes muito politizado.,Work environment is sometimes overly political.,Negative
Remuneração abaixo da média do setor.,Salary below industry average.,Negative
Demasiada burocracia nos processos internos.,Too much bureaucracy in internal processes.,Negative
Mudanças constantes na gestão criam instabilidade.,Constant changes in management create instability.,Negative
Comunicação interna pouco eficaz.,Internal communication is not very effective.,Negative
Falta de inovação nos métodos de trabalho.,Lack of innovation in work methods.,Negative
Carga de trabalho excessiva em certas equipas.,Excessive workload in certain teams.,Negative
As decisões importantes são muito centralizadas.,Important decisions are too centralized.,Negative
Falta de diversidade e inclusão em posições de liderança.,Lack of diversity and inclusion in leadership roles.,Negative
Processos de recrutamento morosos e pouco transparentes.,Slow and non-transparent recruitment processes.,Negative
Pouco foco na retenção de talento jovem.,Little focus on retaining young talent.,Negative
Falta de feedback construtivo e regular.,Lack of regular and constructive feedback.,Negative
Cultura muito hierárquica e resistência à mudança.,Very hierarchical culture and resistance to change.,Negative
Ambiente de trabalho muito saudável e equipa colaborativa.,Very healthy work environment and collaborative team.,Positive
Boa cultura organizacional e flexibilidade no horário.,Good organizational culture and flexible hours.,Positive
Benefícios competitivos e bons incentivos internos.,Competitive benefits and good internal incentives.,Positive
Liderança acessível e preocupada com o bem-estar dos funcionários.,Accessible leadership concerned with employee well-being.,Positive
Oportunidades claras de progressão na carreira.,Clear opportunities for career progression.,Positive
Empresa sólida com valores bem definidos.,Solid company with well-defined values.,Positive
Equilíbrio entre vida pessoal e profissional é respeitado.,Work-life balance is respected.,Positive
Projetos desafiantes e bons colegas de equipa.,Challenging projects and good teammates.,Positive
A Generali investe na formação contínua dos colaboradores.,Generali invests in continuous training for employees.,Positive
Experiência global enriquecedora para jovens talentos.,Enriching global experience for young talents.,Positive
A experiência depende muito da equipa onde se está inserido.,Experience depends heavily on the team you’re in.,Neutral
"Empresa grande, com os prós e contras disso.","Big company, with its pros and cons.",Neutral
Algumas áreas são mais dinâmicas que outras.,Some areas are more dynamic than others.,Neutral
Nem sempre é fácil implementar novas ideias.,Not always easy to implement new ideas.,Neutral
"Cultura corporativa tradicional, mas estável.",Traditional but stable corporate culture.,Neutral
